,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.6333,147.9167,-6.51,88,10,1.49,RU,1620866102
1,Bredasdorp,-34.5322,20.0403,14.0,94,6,1.54,ZA,1620866102
2,Torbay,47.6666,-52.7314,5.64,78,75,7.72,CA,1620866103
3,Rikitea,-23.1203,-134.9692,25.42,77,85,7.21,PF,1620866104
4,Palāsa,18.7667,84.4167,28.99,84,49,4.66,IN,1620866104
5,Hong Kong,22.2855,114.1577,29.98,81,10,0.45,HK,1620865822
6,Mahibadhoo,3.7833,72.9667,28.62,76,100,11.7,MV,1620866105
7,Shingū,33.7333,135.9833,19.95,92,100,7.45,JP,1620866105
8,Hay River,60.8156,-115.7999,13.95,44,75,3.09,CA,1620865814
9,Puerto Ayora,-0.7393,-90.3518,24.08,93,15,1.79,EC,1620866106
10,Kavaratti,10.5669,72.642,28.03,75,100,2.11,IN,1620866106
11,Busselton,-33.65,115.3333,9.97,63,98,7.18,AU,1620866106
12,East London,-33.0153,27.9116,15.46,79,0,2.36,ZA,1620865971
13,Albany,42.6001,-73.9662,13.12,73,47,2.9,US,1620866067
14,Sibolga,1.7427,98.7792,26.71,81,98,0.71,ID,1620866107
15,Hasaki,35.7333,140.8333,17.75,87,100,5.57,JP,1620866107
16,Nizhniy Tsasuchey,50.5167,115.1333,9.68,42,100,5.04,RU,1620866108
17,Châtellerault,46.8,0.5333,7.97,97,43,4.49,FR,1620866108
18,Norwich,52.6278,1.2983,9.92,83,100,1.03,GB,1620866109
19,Otane,-39.8833,176.6333,11.62,53,85,4.93,NZ,1620866109
20,Narsaq,60.9167,-46.05,8.0,29,9,4.12,GL,1620866110
21,Pisco,-13.7,-76.2167,18.95,82,0,4.12,PE,1620866110
22,Castro,-24.7911,-50.0119,11.93,96,100,1.45,BR,1620866110
23,Barrow,71.2906,-156.7887,-9.01,79,75,6.69,US,1620866111
24,Mount Gambier,-37.8333,140.7667,10.54,93,75,4.12,AU,1620865891
25,Qaanaaq,77.484,-69.3632,-4.28,87,100,4.6,GL,1620866111
26,Laramie,41.3114,-105.5911,-0.28,32,75,7.2,US,1620865975
27,Flinders,-34.5833,150.8552,20.0,73,0,0.89,AU,1620866112
28,Ancud,-41.8697,-73.8203,10.79,89,100,1.41,CL,1620866112
29,Ushuaia,-54.8,-68.3,8.68,53,0,6.17,AR,1620866112
30,Krabi,8.0726,98.9105,31.06,86,40,1.03,TH,1620866113
31,Huilong,31.8111,121.655,21.07,86,100,5.86,CN,1620865922
32,Mahébourg,-20.4081,57.7,24.29,83,75,4.12,MU,1620866113
33,Kananga,-5.8958,22.4178,19.3,77,0,1.56,CD,1620866114
34,Mataura,-46.1927,168.8643,8.89,78,2,0.89,NZ,1620866114
35,Kavieng,-2.5744,150.7967,28.98,70,56,2.0,PG,1620866114
36,Tabou,4.423,-7.3528,26.41,75,10,2.58,CI,1620866115
37,Øksfjord,70.2396,22.3479,5.0,87,20,0.59,NO,1620866115
38,Pacific Grove,36.6177,-121.9166,26.9,84,40,2.24,US,1620866115
39,Wilmington,34.2257,-77.9447,9.92,93,90,4.12,US,1620866063
40,Aswān,24.0934,32.907,25.66,17,0,3.64,EG,1620866116
41,Belle Fourche,44.6714,-103.8522,7.92,65,71,3.58,US,1620866116
42,Bunia,1.5667,30.25,16.7,95,56,1.2,CD,1620866116
43,Avarua,-21.2078,-159.775,24.94,88,75,8.23,CK,1620866117
44,Coahuayana Viejo,18.7333,-103.6833,26.9,62,43,2.25,MX,1620866117
45,Samarai,-10.6167,150.6667,29.22,71,67,5.13,PG,1620866117
46,Raudeberg,61.9875,5.1352,8.33,90,100,9.15,NO,1620866118
47,Bengkulu,-3.8004,102.2655,25.82,84,94,1.27,ID,1620866118
48,Tessalit,20.1986,1.0114,31.84,10,7,5.4,ML,1620866118
49,Port Alfred,-33.5906,26.891,15.13,78,0,1.95,ZA,1620866119
50,Belyy Yar,53.6039,91.3903,6.33,48,0,1.65,RU,1620866119
51,Thompson,55.7435,-97.8558,9.68,46,75,4.12,CA,1620866119
52,Vaini,-21.2,-175.2,25.87,78,40,5.14,TO,1620866120
53,Yulara,-25.2406,130.9889,13.7,45,0,2.57,AU,1620866120
54,Langfang,39.5097,116.6947,16.89,56,9,4.26,CN,1620866121
55,Luanda,-8.8368,13.2343,25.0,94,40,1.54,AO,1620866121
56,Arraial do Cabo,-22.9661,-42.0278,22.55,80,100,4.24,BR,1620866121
57,Pemba,-12.974,40.5178,21.74,83,20,3.6,MZ,1620866122
58,Cape Town,-33.9258,18.4232,12.78,100,20,1.03,ZA,1620866122
59,Husavik,66.0449,-17.3389,-1.05,66,100,2.59,IS,1620866123
60,Padang,-0.9492,100.3543,27.42,82,99,0.81,ID,1620866123
61,San Cristobal,7.7669,-72.225,22.09,96,99,1.07,VE,1620866124
62,Andenes,69.3143,16.1194,6.96,81,90,2.06,NO,1620865913
63,Korçë,40.6186,20.7808,8.58,72,2,1.93,AL,1620866124
64,Saint-François,46.4154,3.9054,8.7,87,90,4.63,FR,1620866124
65,San Patricio,28.017,-97.5169,25.9,73,100,5.36,US,1620866125
66,Sur,22.5667,59.5289,29.96,54,96,4.37,OM,1620866125
67,Esperance,-33.8667,121.9,13.0,63,100,4.6,AU,1620866125
68,Kirakira,-10.4544,161.9205,29.47,67,29,3.24,SB,1620866126
69,George Town,5.4112,100.3354,27.94,90,20,0.45,MY,1620866126
70,Carmo do Rio Claro,-20.9719,-46.1189,17.23,64,7,0.19,BR,1620866126
71,Jacqueville,5.2052,-4.4146,26.93,73,3,5.79,CI,1620866127
72,Thai Binh,20.45,106.3333,27.98,78,37,6.57,VN,1620866127
73,Bluff,-46.6,168.3333,8.73,60,2,1.96,NZ,1620866128
74,Bambous Virieux,-20.3428,57.7575,24.27,71,75,6.02,MU,1620866128
75,Hermanus,-34.4187,19.2345,12.59,81,5,0.82,ZA,1620866128
76,Aklavik,68.2191,-135.0107,-3.04,72,99,4.74,CA,1620866129
77,Bayangol,50.6977,103.4656,2.61,85,100,1.43,RU,1620866129
78,Lewistown,40.5992,-77.5714,13.0,74,20,3.09,US,1620866129
79,Anloga,5.7947,0.8973,27.99,80,3,4.88,GH,1620866130
80,Tsiroanomandidy,-18.7667,46.0333,16.4,84,22,1.3,MG,1620866130
81,Shorap’ani,42.0898,43.0866,7.48,54,1,3.51,GE,1620866131
82,Acapulco de Juárez,16.8634,-99.8901,30.88,69,40,3.46,MX,1620865862
83,Yellowknife,62.456,-114.3525,11.67,50,75,6.17,CA,1620866131
84,Atar,20.5169,-13.0499,28.83,13,0,5.14,MR,1620866131
85,Punta Arenas,-53.15,-70.9167,4.82,90,40,3.41,CL,1620865968
86,Cocachacra,-17.0883,-71.7575,19.22,80,55,1.46,PE,1620866132
87,Biak,-0.9131,122.8766,28.13,69,16,2.86,ID,1620866132
88,Nikolskoye,59.7035,30.7861,15.0,62,0,1.0,RU,1620866133
89,Vera Cruz,-12.6333,-41.0333,18.0,77,0,1.54,BR,1620866134
90,Lorengau,-2.0226,147.2712,28.81,73,99,2.26,PG,1620866134
91,Saint George,37.1041,-113.5841,26.34,9,1,2.24,US,1620866134
92,Kapaa,22.0752,-159.319,27.0,61,20,7.72,US,1620866135
93,Fairbanks,64.8378,-147.7164,15.12,46,90,2.06,US,1620866022
94,Beloha,-25.1667,45.05,18.45,97,18,2.65,MG,1620866135
95,Ribeira Grande,38.5167,-28.7,17.06,89,11,3.9,PT,1620866136
96,Jamestown,42.097,-79.2353,9.43,35,1,2.57,US,1620866136
97,Moose Factory,51.2585,-80.6094,13.95,51,40,2.57,CA,1620866136
98,Los Lunas,34.8062,-106.7334,17.08,20,0,0.45,US,1620866137
99,Isla Mujeres,21.2311,-86.731,29.0,74,75,4.12,MX,1620866137
100,Atuona,-9.8,-139.0333,26.51,81,25,7.97,PF,1620866138
101,Saint Anthony,45.0205,-93.218,20.0,16,1,4.12,US,1620866138
102,Charlestown,-32.95,151.6667,21.11,80,1,2.11,AU,1620866139
103,Chicama,-7.8447,-79.1469,17.11,77,7,2.51,PE,1620866139
104,Cherskiy,68.75,161.3,-4.29,84,95,2.08,RU,1620866139
105,Kitimat,54.0524,-128.6534,18.83,52,97,0.89,CA,1620866139
106,Buchanan,5.8808,-10.0467,26.31,80,42,2.15,LR,1620866140
107,Bethel,41.3712,-73.414,16.16,42,1,0.0,US,1620866140
108,Jardim,-21.4803,-56.1381,14.76,98,61,1.84,BR,1620865905
109,Klaksvík,62.2266,-6.589,3.84,75,100,8.95,FO,1620866140
110,Butaritari,3.0707,172.7902,28.39,76,19,5.63,KI,1620866141
111,Olbia,40.9214,9.4856,16.0,77,0,6.69,IT,1620866141
112,Puri,19.8,85.85,30.0,84,93,8.77,IN,1620866142
113,Buraidah,26.326,43.975,25.05,15,37,2.4,SA,1620866142
114,Airai,-8.9266,125.4092,20.64,62,12,2.29,TL,1620866143
115,Defiance,41.3334,-84.45,16.0,31,1,2.57,US,1620866143
116,Norman Wells,65.282,-126.8329,5.6,81,90,6.17,CA,1620866144
117,Bogovarovo,58.9785,47.0246,12.13,89,9,1.77,RU,1620866144
118,Panguna,-6.3164,155.4848,28.54,55,54,1.31,PG,1620866145
119,Zhigansk,66.7697,123.3711,1.98,57,14,3.16,RU,1620866145
120,Saint Stephen,50.3333,-4.9,6.68,88,100,4.03,GB,1620866145
121,Vanimo,-2.6741,141.3028,29.78,68,73,2.15,PG,1620866145
122,Guerrero Negro,27.9769,-114.0611,18.28,68,0,7.18,MX,1620866146
123,Gandajika,-6.75,23.95,18.24,77,0,1.46,CD,1620866146
124,Saskylakh,71.9167,114.0833,0.49,89,100,3.25,RU,1620866147
125,Yeppoon,-23.1333,150.7333,24.82,74,8,2.6,AU,1620866147
126,Ayan,56.45,138.1667,2.36,78,12,3.64,RU,1620865930
127,Sydney Mines,46.2367,-60.2177,4.44,79,40,0.89,CA,1620866147
128,Srinagar,34.0833,74.8167,12.7,76,100,0.52,IN,1620866148
129,Ariquemes,-9.9133,-63.0408,23.37,85,37,1.44,BR,1620866148
130,Chui,-33.6971,-53.4616,9.83,78,0,2.74,UY,1620866148
131,Mandapam,9.2833,79.1167,29.78,75,100,4.4,IN,1620866149
132,New Norfolk,-42.7826,147.0587,15.8,74,100,0.45,AU,1620866149
133,Port Elizabeth,-33.918,25.5701,10.77,93,0,1.54,ZA,1620866149
134,Cururupu,-1.8283,-44.8683,23.29,97,86,1.35,BR,1620865942
135,Portland,45.5234,-122.6762,27.16,37,20,1.34,US,1620865610
136,São João da Barra,-21.6403,-41.0511,21.62,85,11,2.82,BR,1620865974
137,Yumen,40.2833,97.2,15.99,34,18,9.22,CN,1620866150
138,Cidreira,-30.1811,-50.2056,13.47,76,0,2.12,BR,1620866151
139,Kenai,60.5544,-151.2583,11.53,71,90,2.06,US,1620866151
140,San Quintín,30.4833,-115.95,18.1,69,0,4.26,MX,1620866152
141,Bud,39.447,-86.1758,13.89,44,1,2.57,US,1620866152
142,South Valley,35.0101,-106.6781,16.37,18,20,2.06,US,1620866111
143,Ongandjera,-17.8833,15.0667,17.27,32,1,3.44,NA,1620866152
144,Patnāgarh,20.7167,83.15,30.29,52,39,3.24,IN,1620866153
145,Mar del Plata,-38.0023,-57.5575,14.44,81,0,5.14,AR,1620866153
146,Hilo,19.7297,-155.09,28.0,54,90,5.14,US,1620866154
147,Sompeta,18.9333,84.6,29.08,83,58,5.84,IN,1620866154
148,Vidim,56.4088,103.1106,4.41,48,8,3.3,RU,1620866155
149,San-Pédro,4.7485,-6.6363,26.25,76,14,2.7,CI,1620866155
150,Lompoc,34.6391,-120.4579,23.69,84,90,4.63,US,1620865943
151,Lagoa,39.05,-27.9833,16.78,86,16,6.04,PT,1620866156
152,La Ronge,55.1001,-105.2842,13.68,33,20,2.06,CA,1620866156
153,Cayenne,4.9333,-52.3333,24.97,89,75,1.79,GF,1620866156
154,Lata,40.1629,-8.3327,11.1,88,89,0.69,PT,1620866157
155,Río Gallegos,-51.6226,-69.2181,7.92,57,0,2.06,AR,1620866157
156,Udalguri,26.7667,92.1333,20.91,90,100,1.7,IN,1620866157
157,Henties Bay,-22.116,14.2845,21.67,46,0,1.95,NA,1620866158
158,Jizan,17.3333,42.6667,30.49,41,81,0.64,SA,1620866158
159,Lawrence,38.9717,-95.2353,17.0,27,1,3.09,US,1620866076
160,Provideniya,64.3833,-173.3,1.97,87,90,5.0,RU,1620866158
161,Kamaishi,39.2667,141.8833,18.94,81,58,5.69,JP,1620866159
162,Mahon,39.8885,4.2658,15.0,94,0,1.54,ES,1620866159
163,Haines Junction,60.7522,-137.5108,9.0,40,84,5.66,CA,1620866160
164,Pangnirtung,66.1451,-65.7125,-0.95,93,99,1.92,CA,1620866160
165,Suntar,62.1444,117.6319,7.48,39,0,2.92,RU,1620866160
166,Östersund,63.1792,14.6357,7.22,100,90,2.06,SE,1620866161
167,Calvinia,-31.4707,19.776,13.53,28,0,1.61,ZA,1620866161
168,Pevek,69.7008,170.3133,-1.55,87,100,1.87,RU,1620866161
169,Hirara,24.8,125.2833,27.86,83,40,8.23,JP,1620866162
170,Capreol,46.706,-80.9225,13.99,65,75,1.62,CA,1620866162
171,Mercedes,-34.6515,-59.4307,12.51,51,2,3.68,AR,1620866162
172,Pinawa,50.1489,-95.8811,17.52,33,83,3.73,CA,1620866163
173,Caravelas,-17.7125,-39.2481,21.83,85,100,1.84,BR,1620866163
174,Wewak,-3.5534,143.6268,29.33,68,33,2.38,PG,1620866163
175,Mauá,-23.6678,-46.4614,11.0,97,100,3.23,BR,1620866164
176,Belmonte,-15.8631,-38.8828,23.97,79,100,1.6,BR,1620866164
177,Dikson,73.5069,80.5464,-2.92,95,82,4.07,RU,1620866164
178,Samokov,42.3333,23.55,12.22,93,20,1.03,BG,1620866165
179,Saint Paul Harbor,57.79,-152.4072,7.6,71,90,5.66,US,1620866165
180,Monrovia,6.3005,-10.7969,26.81,80,45,2.13,LR,1620866165
181,Ponta do Sol,32.6667,-17.1,18.0,84,60,1.55,PT,1620866166
182,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.08,59,18,1.85,RU,1620865935
183,Ol'ga,43.7444,135.2892,11.89,75,93,2.18,RU,1620865927
184,Oranjemund,-28.55,16.4333,14.72,73,0,2.43,NA,1620866166
185,Salinópolis,-0.6136,-47.3561,25.06,88,99,1.61,BR,1620866166
186,Puksoozero,62.5903,40.6066,12.49,81,0,2.23,RU,1620866167
187,Fuerte,17.5381,120.3644,30.94,63,7,2.34,PH,1620866168
188,Matara,5.9485,80.5353,26.55,86,100,3.23,LK,1620866168
189,Lavrentiya,65.5833,-171.0,0.89,97,100,0.88,RU,1620866169
190,Constitución,-35.3333,-72.4167,12.94,58,94,2.72,CL,1620866169
191,Vernon,50.2581,-119.2691,12.48,82,100,3.09,CA,1620866012
192,Chifeng,42.2683,118.9636,16.38,43,100,3.05,CN,1620866169
193,Kendrapara,20.5042,86.416,29.94,81,100,4.13,IN,1620866170
194,Cockburn Town,21.4612,-71.1419,25.97,73,40,6.17,TC,1620866170
195,Palmas Bellas,9.2319,-80.0867,27.67,87,100,2.38,PA,1620866170
196,Osoyoos,49.0331,-119.4524,17.21,63,90,1.03,CA,1620866171
197,Mossamedes,-15.1961,12.1522,23.49,64,0,1.79,AO,1620866171
198,Port Augusta,-32.5,137.7667,16.0,35,0,3.53,AU,1620866171
199,Newport,51.5877,-2.9984,9.31,90,100,6.22,GB,1620866172
200,Evensk,61.95,159.2333,1.85,65,5,0.34,RU,1620866172
201,Dawlatabad,36.4141,64.9053,20.39,28,0,3.11,AF,1620866172
202,Nur-Sultan,51.1801,71.446,9.68,67,0,5.22,KZ,1620866173
203,Dunedin,-45.8742,170.5036,11.56,42,7,4.47,NZ,1620866173
204,Ossora,59.2353,163.0719,1.12,79,78,1.08,RU,1620866173
205,Ylöjärvi,61.5563,23.5961,15.0,51,0,2.57,FI,1620866174
206,Saldanha,-33.0117,17.9442,8.81,87,0,2.73,ZA,1620866174
207,Toamasina,-18.1667,49.3833,21.94,94,75,2.57,MG,1620866174
208,Smidovich,48.6,133.8167,12.82,70,99,5.75,RU,1620866175
209,Uzhur,55.3036,89.8339,11.83,49,1,2.1,RU,1620866175
210,Hambantota,6.1241,81.1185,25.0,100,40,1.03,LK,1620866175
211,Nome,64.5011,-165.4064,2.98,87,90,2.57,US,1620866176
212,Bahía Blanca,-38.7196,-62.2724,14.71,53,0,4.64,AR,1620865981
213,Neuquén,-38.9516,-68.0591,6.18,71,0,0.0,AR,1620866176
214,Tuktoyaktuk,69.4541,-133.0374,-8.0,79,90,6.69,CA,1620866176
215,Ambilobe,-13.2,49.05,19.45,91,1,1.5,MG,1620866177
216,Port Keats,-14.25,129.55,28.42,28,0,6.22,AU,1620866177
217,Kondinskoye,59.6481,67.41,13.83,78,100,4.61,RU,1620866177
218,Avera,33.194,-82.5271,10.0,84,90,3.6,US,1620866178
219,Carnarvon,-24.8667,113.6333,19.0,82,0,2.57,AU,1620866178
220,Santa Cruz de la Sierra,-17.8,-63.1667,15.98,63,100,3.4,BO,1620866178
221,Faanui,-16.4833,-151.75,27.92,79,100,8.89,PF,1620866179
222,Hobart,-42.8794,147.3294,15.99,67,75,0.45,AU,1620865983
223,Ust'-Shonosha,61.1531,41.343,11.69,72,4,1.6,RU,1620866179
224,Natal,-5.795,-35.2094,23.81,96,75,3.91,BR,1620865887
225,Longyearbyen,78.2186,15.6401,-6.27,68,40,1.54,SJ,1620866180
226,Kloulklubed,7.0419,134.2556,28.97,79,60,6.18,PW,1620866180
227,Port Hedland,-20.3167,118.5667,25.96,36,0,3.6,AU,1620866180
228,Leningradskiy,69.3833,178.4167,0.48,97,100,1.65,RU,1620866181
229,Grand Gaube,-20.0064,57.6608,24.36,72,36,2.24,MU,1620866181
230,Chara,56.9064,118.2631,2.74,72,100,1.86,RU,1620866181
231,Olafsvik,64.8945,-23.7142,4.21,63,100,1.6,IS,1620866181
232,Fortuna,40.5982,-124.1573,11.67,93,90,6.17,US,1620866182
233,Sanguéya,10.7,-14.3667,25.28,79,100,0.66,GN,1620866182
234,Severo-Kuril'sk,50.6789,156.125,3.25,79,20,7.11,RU,1620866183
235,Touros,-5.1989,-35.4608,23.94,96,100,6.93,BR,1620866183
236,Umm Bāb,25.2142,50.8072,29.03,43,0,1.97,QA,1620866183
237,Bairiki Village,1.3292,172.9752,30.95,75,75,4.18,KI,1620866183
238,Tasiilaq,65.6145,-37.6368,-3.0,93,90,1.03,GL,1620866184
239,Teixeira,-7.2228,-37.2542,19.57,90,0,3.82,BR,1620866184
240,Yabrūd,33.9674,36.6574,15.0,63,0,3.09,SY,1620866185
241,Shaunavon,49.6501,-108.4181,8.07,33,44,1.98,CA,1620866185
242,Fernley,39.608,-119.2518,28.33,9,99,1.79,US,1620866115
243,Hobyo,5.3505,48.5268,27.18,72,100,9.93,SO,1620866185
244,Zihuatanejo,17.6333,-101.55,29.24,68,100,2.76,MX,1620866186
245,Manatí,18.4275,-66.4921,26.76,83,100,4.99,PR,1620865989
246,Oeiras,-7.0253,-42.1311,26.71,50,53,1.9,BR,1620866186
247,Oistins,13.0667,-59.5333,25.71,65,20,8.75,BB,1620866186
248,Ayagoz,47.9714,80.4392,10.96,35,100,3.68,KZ,1620866162
249,‘Ewa Beach,21.3156,-158.0072,28.95,45,1,6.17,US,1620866041
250,Deputatsky,69.3,139.9,-6.54,84,97,0.98,RU,1620866187
251,Florø,61.5996,5.0328,9.98,76,89,2.57,NO,1620866187
252,Bariloche,-41.1456,-71.3082,6.0,87,40,2.06,AR,1620866188
253,Rome,43.2128,-75.4557,13.12,35,1,4.12,US,1620866104
254,Şuraabad,40.8192,49.4687,10.14,84,96,0.56,AZ,1620866188
255,Coquimbo,-29.9533,-71.3436,13.92,85,75,2.75,CL,1620865905
256,Fort Nelson,58.8053,-122.7002,17.0,36,40,1.54,CA,1620866189
257,Uíge,-7.6087,15.0613,20.58,79,40,1.08,AO,1620866189
258,Souillac,-20.5167,57.5167,24.0,83,75,4.12,MU,1620866189
259,Nāwa,27.0167,75.0,27.6,37,100,6.58,IN,1620866190
260,Cabedelo,-6.9811,-34.8339,24.0,100,90,3.09,BR,1620866190
261,Ahipara,-35.1667,173.1667,18.42,51,7,1.8,NZ,1620866191
262,Takhtamygda,54.1,123.5667,6.01,96,100,0.97,RU,1620866191
263,Bereda,43.2686,-7.5406,10.67,97,100,2.69,ES,1620866191
264,Kahului,20.8947,-156.47,28.0,62,20,8.75,US,1620865986
265,Madona,56.8533,26.217,10.7,79,68,2.47,LV,1620866192
266,Izazi,-7.2,35.7333,19.83,62,97,1.37,TZ,1620866192
267,Lebu,-37.6167,-73.65,12.07,86,100,5.25,CL,1620866193
268,Clyde River,70.4692,-68.5914,-1.84,93,100,1.64,CA,1620866193
269,Kruisfontein,-34.0033,24.7314,10.98,85,0,1.59,ZA,1620866193
270,Port Macquarie,-31.4333,152.9167,20.49,72,2,3.23,AU,1620866090
271,Jinxiang,27.4327,120.6062,23.42,91,94,0.72,CN,1620866194
272,Labuan,5.2767,115.2417,30.0,74,20,0.89,MY,1620866194
273,Wajima,37.4,136.9,21.0,52,0,2.06,JP,1620866195
274,Stornoway,58.2093,-6.3865,7.96,87,75,6.69,GB,1620866195
275,Fort Frances,48.5999,-93.4003,16.8,19,40,3.6,CA,1620866018
276,Aberdeen,57.1437,-2.0981,7.68,100,90,1.54,GB,1620866195
277,Muros,42.7762,-9.0603,14.35,90,100,5.99,ES,1620866195
278,Myrtle Beach,33.6891,-78.8867,9.99,92,90,4.12,US,1620866046
279,Dawson Creek,55.7666,-120.2362,14.54,34,20,6.17,CA,1620866196
280,Waipawa,-41.4122,175.5153,13.89,58,40,5.66,NZ,1620866196
281,Mehamn,71.0357,27.8492,4.39,93,98,3.77,NO,1620866197
282,Rincon,32.296,-81.2354,15.0,100,90,4.12,US,1620866197
